settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint
																														
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#RIF!	#RIF!	#RIF!	#RIF!	0	0
2	1	0	1	0	1	0	0	0	0	0	0	1	20	0	0	19	1	0	5.26315789473684	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	1	0
3	8	0	8	1	9	29	31	0	0	0	0	9	36	0	0	16	8	0	50	#DIV/0!	0	8	8	#DIV/0!	0	#DIV/0!	0	#DIV/0!	7	0
4	53	11	64	171	235	84	94	0	6	0	0	241	1740	0	0	1704	232	0	13.6150234741784	#DIV/0!	6	29	8	#DIV/0!	0	#DIV/0!	1.5	300	56	11
5	145	33	178	510	688	145	151	7	29	0	0	724	6084	0	0	4344	483	0	11.1187845303867	#DIV/0!	23	2.08189655172414	2.78125	#DIV/0!	0	#DIV/0!	7.25	217.241379310345	114	22
6	231	62	293	805	1098	89	163	153	74	0	0	1325	10640	0	0	4556	601	0	13.1913959613696	#DIV/0!	45	1.24430641821946	1.64606741573034	#DIV/0!	0	#DIV/0!	18.5	143.243243243243	115	29
7	245	52	297	963	1260	280	219	298	164	0	0	1722	16825	0	0	6185	397	0	6.41875505254648	#DIV/0!	90	0.660565723793677	1.01365187713311	#DIV/0!	0	#DIV/0!	41	119.512195121951	4	-10
8	190	41	231	1306	1537	32	106	400	212	0	0	2149	24157	0	0	7332	427	0	5.82378614293508	#DIV/0!	48	1.07556675062972	0.777777777777778	#DIV/0!	0	#DIV/0!	51.5	-6.79611650485437	-66	-11
9	160	19	179	1361	1540	-67	19	605	249	0	0	2394	31381	15089	0	7224	245	15089	3.39147286821705	1.62369938365697	37	0.573770491803279	0.774891774891775	#DIV/0!	3772.25	300	55	-32.7272727272727	-52	-22
10	150	16	166	774	940	-92	16	1286	270	0	0	2496	38640	18423	0	7259	102	3334	1.40515222482436	3.05938812237552	21	0.416326530612245	0.927374301675978	1.88420846442956	4605.75	-27.6122238506215	49	-57.1428571428571	-13	-3
11	103	10	113	523	636	-43	7	1621	284	0	0	2541	44673	20333	0	6033	45	1910	0.745897563401293	2.35602094240838	14	0.441176470588235	0.680722891566265	0.770095472744071	5083.25	-62.4256135346481	30	-53.3333333333333	-53	-6
12	63	7	70	377	447	-41	6	1835	290	0	0	2572	50019	22500	0	5346	31	2167	0.579872802095024	1.43054914628519	6	0.688888888888889	0.619469026548672	0.60718863764549	5625	-61.4755555555556	19.5	-69.2307692307692	-43	-3
13	52	6	58	249	307	-26	4	1984	291	0	0	2582	54861	24930	0	4842	10	2430	0.206526228831061	0.411522633744856	1	0.32258064516129	0.828571428571429	0.287667595911324	2460.25	-1.22954984249568	10.5	-90.4761904761905	-12	-1
14	29	5	34	150	184	-21	1	2118	291	0	0	2593	61075	28189	0	6214	11	3259	0.177019633086579	0.337526848726603	0	1.1	0.586206896551724	0.820190242405646	2441.5	33.4835142330535	5.25	-100	-24	-1
15	13	4	17	106	123	-7	4	2184	291	0	0	2598	67121	31254	0	6046	5	3065	0.082699305325835	0.163132137030995	0	0.454545454545455	0.5	0.483316031440012	2730.25	12.2607819796722	1.75	-100	-17	-1
16	7	2	9	88	97	0	4	2215	292	0	0	2604	72257	34307	0	5136	6	3053	0.116822429906542	0.196528005240747	1	1.2	0.529411764705882	1.20471667212578	2951.75	3.43016854408402	0.5	100	-8	-2
17	8	1	9	85	94	-2	4	2225	292	0	0	2611	76345	36698	0	4088	7	2391	0.171232876712329	0.292764533667921	0	1.16666666666667	1	1.48968353548027	2942	-18.7287559483345	0.25	-100	0	-1
18	4	1	5	84	89	12	12	2252	292	0	0	2633	80085	38636	0	3740	22	1938	0.588235294117647	1.13519091847265	0	3.14285714285714	0.555555555555556	3.87748783724016	2611.75	-25.796879486934	0.25	-100	-4	0
19	2	1	3	82	85	0	4	2262	292	2639	0	2639	83729	40655	0	3644	6	2019	0.164654226125137	0.297176820208024	0	0.272727272727273	0.6	0.261785762528705	2350.25	-14.0942452930539	0.25	-100	-2	0
20	3	0	3	80	83	4	5	2272	292	2647	0	2647	87392	42875	0	3663	8	2220	0.218400218400218	0.36036036036036	0	1.33333333333333	1	1.21261261261261	2142	3.64145658263305	0	#DIV/0!	0	-1
21	6	0	6	89	95	7	8	2286	292	2673	0	2673	91340	45433	0	3948	26	2558	0.658561296859169	1.01641907740422	0	3.25	2	2.82056293979672	2183.75	17.1379507727533	0	#DIV/0!	3	0
22	6	0	6	94	100	4	5	2292	292	2684	0	2684	96471	48867	0	5131	11	3434	0.214383161177158	0.320326150262085	0	0.423076923076923	1	0.315151650911697	2557.75	34.2586257452839	0	#DIV/0!	0	0
23	7	0	7	87	94	2	5	2314	292	2700	0	2700	101707	52154	0	5236	16	3287	0.305576776165011	0.486766048068147	0	1.45454545454545	1.16666666666667	1.51959509915093	2874.75	14.3403774241238	0	#DIV/0!	1	0
24	7	0	7	105	112	10	13	2330	292	2734	0	2734	107735	55757	0	6028	34	3603	0.564034505640345	0.943658062725507	0	2.125	1	1.93862753261171	3220.5	11.877037727061	0	#DIV/0!	0	0
25	8	0	8	120	128	3	10	2354	292	2774	0	2774	114630	59515	0	6895	40	3758	0.580130529369108	1.06439595529537	0	1.17647058823529	1.14285714285714	1.12794665497918	3520.5	6.74620082374663	0	#DIV/0!	1	0
26	8	1	9	118	127	9	15	2385	292	2804	0	2804	122522	64243	0	7892	30	4728	0.380131779016726	0.634517766497462	0	0.75	1.125	0.596129441624365	3844	22.996878251821	0	#DIV/0!	1	1
27	8	1	9	163	172	15	23	2420	292	2884	0	2884	130517	69119	0	7995	80	4876	1.00062539086929	1.64068908941756	0	2.66666666666667	1	2.58572600492207	4241.25	14.9661066902446	0	#DIV/0!	0	0
28	8	2	10	180	190	0	10	2453	292	2935	0	2935	138021	73091	0	7504	51	3972	0.679637526652452	1.28398791540786	0	0.6375	1.11111111111111	0.782590634441088	4333.5	-8.34198684665974	0	#DIV/0!	1	1
29	8	2	10	205	215	27	40	2496	292	3003	0	3003	144481	76265	0	6460	68	3174	1.05263157894737	2.14240705734089	0	1.33333333333333	1	1.66855702583491	4187.5	-24.2029850746269	0	#DIV/0!	0	0
30	8	0	8	295	303	24	27	2540	292	3135	0	3135	151821	80293	0	7340	132	4028	1.7983651226158	3.27706057596822	0	1.94117647058824	0.8	1.52961621590046	4012.5	0.386292834890966	0	#DIV/0!	-2	-2
31	16	1	17	423	440	25	42	2589	292	3321	0	3321	162335	85880	0	10514	186	5587	1.76906981167967	3.32915697154108	0	1.40909090909091	2.125	1.01589729404299	4190.25	33.3333333333333	0	#DIV/0!	9	1
32	26	0	26	534	560	25	57	2662	292	3514	0	3514	173727	90576	0	11392	193	4696	1.69417134831461	4.10988074957411	0	1.03763440860215	1.52941176470588	1.23451095418659	4371.25	7.42922505004289	0	#DIV/0!	9	-1
33	21	0	21	606	627	78	101	2743	292	3662	0	3662	183294	94956	0	9567	148	4380	1.54698442562977	3.37899543378995	0	0.766839378238342	0.807692307692308	0.822163863061017	4672.75	-6.26504734899149	0	#DIV/0!	-5	0
34	42	2	44	929	973	196	216	2843	293	4109	0	4109	193891	100427	0	10597	447	5471	4.21817495517599	8.17035276914641	1	3.02027027027027	2.0952380952381	2.41798277897711	5033.5	8.69176517333863	0.25	300	23	2
35	67	7	74	1616	1690	414	424	2920	294	4904	0	4904	205014	106284	0	11123	795	5857	7.14735233300369	13.5735017927267	1	1.77852348993289	1.68181818181818	1.66131159525744	5101	14.8206234071751	0.5	100	30	5
36	152	12	164	3337	3501	845	855	2955	299	6755	0	6755	221307	114559	0	16293	1851	8275	11.3607070521083	22.368580060423	5	2.32830188679245	2.21621621621622	1.64795941401129	5995.75	38.0144268857107	1.75	185.714285714286	90	5
37	293	23	316	5744	6060	936	1218	2974	319	9353	0	9353	238444	122791	0	17137	2598	8232	15.1601797280738	31.5597667638484	20	1.40356564019449	1.92682926829268	1.41089719055022	6958.75	18.2971079576073	6.75	196.296296296296	152	11
38	411	41	452	7962	8414	658	1211	4950	345	13709	0	13709	258543	131696	0	20099	4356	8905	21.6727200358227	48.9163391353172	26	1.67667436489607	1.43037974683544	1.54995882895278	7817.25	13.9147398381784	13	100	136	18
39	487	43	530	10038	10568	227	1079	6873	405	17846	0	17846	277572	138774	0	19029	4137	7078	21.7405013400599	58.4487143260808	60	0.949724517906336	1.17256637168142	1.19487098501779	8122.5	-12.8593413357956	27.75	116.216216216216	78	2
40	473	38	511	11104	11615	-24	443	9371	474	21460	0	21460	295974	145053	0	18402	3614	6279	19.6391696554722	57.5569358178054	69	0.873579888808315	0.964150943396226	0.984742547059286	7623.5	-17.6362563127173	43.75	57.7142857142857	-19	-5
41	414	34	448	10851	11299	-27	249	12038	534	23871	0	23871	312584	149245	0	16610	2411	4192	14.5153521974714	57.5143129770992	60	0.667127836192584	0.876712328767123	0.999259466472623	6613.5	-36.6145006426249	53.75	11.6279069767442	-63	-4
42	405	33	438	10479	10917	-4	155	13976	583	0	0	25476	324152	152396	0	11568	1605	3151	13.8744813278008	50.9362107267534	49	0.665698880132725	0.977678571428571	0.885626691690379	5175	-39.1111111111111	59.5	-17.6470588235294	-10	-1

