settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint
																														
1	0	0	0	0	0	4	4	0	0	0	0	0	10	7	0	10	0	7	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#RIF!	#RIF!	#RIF!	#RIF!	0	0
2	4	0	4	13	17	39	40	0	0	0	0	17	373	264	0	363	17	257	4.6831955922865	6.61810811854943	0	#DIV/0!	#DIV/0!	#DIV/0!	131.973664122137	94.6380697050938	0	#DIV/0!	4	0
3	42	8	50	69	119	72	80	1	0	0	0	120	980	693	0	607	103	430	16.9686985172982	23.9794984440783	0	6.05882352941176	12.5	3.62331621281132	231.160305343511	85.8163265306122	0	#DIV/0!	46	8
4	103	22	125	238	363	140	159	28	9	0	0	400	2517	1781	0	1537	280	1088	18.2173064411191	25.7439821336203	9	2.71844660194175	2.5	1.07358301065624	445.278435114504	144.259038537942	2.25	300	75	14
5	266	110	376	553	929	212	257	48	49	0	0	1026	5813	4113	0	3296	626	2332	18.9927184466019	26.8397639320912	40	2.23571428571429	3.008	1.04256458044383	1026.59942748092	127.192831294158	12.25	226.530612244898	251	88
6	468	126	594	1145	1739	308	325	88	125	0	0	1952	12969	9177	0	7156	926	5064	12.9401900503074	18.286568463757	76	1.47923322683706	1.57978723404255	0.68132374450181	2228.33816793893	127.246744998412	31.25	143.2	218	16
7	610	101	711	1987	2698	132	185	156	204	0	0	3058	24526	17355	0	11557	1106	8178	9.56995760145366	13.5238883041039	79	1.19438444924406	1.1969696969697	0.739553094989227	4165.48511450382	96.33058693621	51	54.9019607843137	117	-25
8	606	80	686	2376	3062	-18	107	360	248	0	0	3670	36770	26020	0	12244	612	8664	4.9983665468801	7.06349533593629	44	0.553345388788427	0.964838255977496	0.522297668917661	6059.64332061069	42.9830963711208	59.75	-26.3598326359833	-25	-21
9	586	61	647	2372	3019	-14	77	746	309	0	0	4074	51090	36153	0	14320	404	10133	2.82122905027933	3.98685011420272	61	0.660130718954248	0.943148688046647	0.56443020411144	8009.88148854962	26.5101486405902	65	-6.15384615384615	-39	-19
10	541	37	578	2299	2877	-42	43	1120	352	0	0	4349	68727	42463	0	17637	275	6310	1.55922208992459	4.3581616481775	43	0.680693069306931	0.893353941267388	1.09313405905379	8321.425	-24.1716412753825	56.75	-24.2290748898678	-69	-24
11	438	24	462	2249	2711	-65	26	1421	366	0	0	4498	90543	48275	0	21816	149	5812	0.682984965163183	2.56366139022712	14	0.541818181818182	0.799307958477509	0.588243758993931	7729.89465648855	-24.8113944848996	40.5	-65.4320987654321	-116	-13
12	436	23	459	1450	1909	-20	30	2301	392	0	0	4602	119042	54822	0	28499	104	6547	0.364925085090705	1.5885138231251	26	0.697986577181208	0.993506493506493	0.619627002684769	7200.57824427481	-9.07674664593042	36	-27.7777777777778	-3	-1
13	342	17	359	1314	1673	-28	16	2623	399	0	0	4695	143478	67155	0	24436	93	12333	0.380586020625307	0.754074434444174	7	0.894230769230769	0.782135076252723	0.474704357914039	7750.5	59.1252177278885	22.5	-68.8888888888889	-100	-6
14	287	7	294	919	1213	-56	11	3137	405	0	0	4755	175466	82786	0	31988	60	15631	0.187570338877079	0.383852600601369	6	0.645161290322581	0.818941504178273	0.509038077765235	10080.75	55.0579073977631	13.25	-54.7169811320755	-65	-10
15	224	6	230	709	939	-54	8	3454	413	0	0	4806	203858	99580	0	28392	51	16794	0.179628064243449	0.303679885673455	8	0.85	0.782312925170068	0.791136715493629	12826.25	30.9346067634733	11.75	-31.9148936170213	-64	-1
16	82	6	88	629	717	-26	3	3685	426	0	0	4828	219033	109534	0	15175	22	9954	0.14497528830313	0.221016676712879	13	0.431372549019608	0.382608695652174	0.727794915434528	13678	-27.2262026612078	8.5	52.9411764705882	-142	0
17	58	2	60	229	289	-29	6	3894	430	0	0	4613	241380	122291	0	22347	-215	12757	-0.962097820736564	-1.68534922003606	4	-9.77272727272727	0.681818181818182	-7.62543915283588	13784	-7.45066744051074	7.75	-48.3870967741936	-28	-4
18	40	0	40	93	133	7	7	4060	431	0	0	4624	266472	127669	0	25092	11	5378	0.043838673680855	0.204537002603198	1	-0.051162790697675	0.666666666666667	-0.121361792660884	11220.75	-52.0709399995544	6.5	-84.6153846153846	-20	-2
19	20	0	20	142	162	2	6	4073	431	4664	2	4666	279246	135740	0	12774	42	8071	0.328792860497886	0.520381613183001	0	3.81818181818182	0.5	2.54419301427107	9040	-10.7190265486726	4.5	-100	-20	0
20	42	0	42	185	227	30	30	4087	432	4690	56	4746	293368	144742	0	14122	80	9002	0.566491998300524	0.888691401910686	1	1.9047619047619	2.1	1.70776864400504	8802	2.27221086116792	1.5	-33.3333333333333	22	0
21	16	0	16	237	253	14	16	4094	432	4718	61	4779	303419	151102	0	10051	33	6360	0.328325539747289	0.518867924528302	0	0.4125	0.380952380952381	0.583856132075472	7202.75	-11.7003922113082	0.5	-100	-26	0
22	32	0	32	264	296	13	17	4104	433	4769	64	4833	312536	157038	0	9117	54	5936	0.592300098716683	0.909703504043127	1	1.63636363636364	2	1.75324675324675	7342.25	-19.1528482413429	0.5	100	16	0
23	29	4	33	332	365	17	21	4127	434	4858	68	4926	324552	165961	0	12016	93	8923	0.773968042609854	1.04225036422728	1	1.72222222222222	1.03125	1.14570336334317	7555.25	18.1033056483902	0.75	33.3333333333333	1	4
24	47	2	49	348	397	12	26	4187	436	4944	76	5020	338018	174985	0	13466	94	9024	0.698054359126689	1.04166666666667	2	1.01075268817204	1.48484848484848	0.999439964157706	7560.75	19.3532387659954	1	100	16	-2
25	34	1	35	363	398	54	60	4254	439	5004	87	5091	350363	183401	0	12345	71	8416	0.575131632239773	0.843631178707224	3	0.75531914893617	0.714285714285714	0.809885931558935	8074.75	4.22613703210626	1.75	71.4285714285714	-14	-1
26	47	1	48	519	567	167	172	4305	440	5197	115	5312	363297	192706	0	12934	221	9305	1.70867481057677	2.37506716818915	1	3.11267605633803	1.37142857142857	2.81529088556054	8917	4.35123920601099	1.75	-42.8571428571429	13	0
27	72	2	74	967	1041	370	386	4356	441	5636	202	5838	386619	211095	0	23322	526	18389	2.25538118514707	2.86040567730709	1	2.38009049773756	1.54166666666667	1.20434727725531	11283.5	62.9724819426596	1.75	-42.8571428571429	26	1
28	95	1	96	2114	2210	283	284	4411	445	6341	725	7066	419261	237519	0	32642	1228	26424	3.76202438576068	4.64729034211323	4	2.33460076045627	1.2972972972973	1.62469623766388	15633.5	69.0216522211917	2.25	77.7777777777778	22	-1
29	223	7	230	2960	3190	291	340	4490	448	7074	1054	8128	459140	271727	0	39879	1062	34208	2.66305574362446	3.10453695042095	3	0.864820846905537	2.39583333333333	0.668031631742046	22081.5	54.9170119783529	2.25	33.3333333333333	134	6
30	286	19	305	3699	4004	165	261	4759	452	7915	1300	9215	501568	306866	0	42428	1087	35139	2.56198736683322	3.09342895358434	4	1.02354048964218	1.32608695652174	0.996422011715753	28540	23.1219341275403	3	33.3333333333333	75	12
