settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint	morti/contagi	morti/cont cum
																																
1	10	2	12	6	18	64	86	0	0	0	0	18	148	104	0	148	18	104	12.1621621621622	17.3318906073543	0	#DIV/0!	#DIV/0!	#DIV/0!	#RIF!	#RIF!	#RIF!	#RIF!	12	2	#VALORE!	#VALORE!
2	148	16	164	160	324	207	220	0	11	0	0	335	1973	1384	0	1825	317	1281	17.3698630136986	24.753210950826	11	17.6111111111111	13.6666666666667	1.42818873668189	692.248367173629	84.9974657881399	5.5	100	152	14	#DIV/0!	#DIV/0!
3	576	90	666	620	1286	581	655	30	70	0	0	1386	4906	3443	0	2933	1051	2058	35.8336174565291	51.0652899987262	59	3.31545741324921	4.0609756097561	2.06297639931122	1147.54873774415	79.3518141051772	23.3333333333333	152.857142857143	502	74	327.777777777778	388.888888888889
4	1362	197	1559	1529	3088	1076	1279	88	346	0	0	3522	13096	9190	0	8190	2136	5747	26.0805860805861	37.1665711160067	276	2.03235014272122	2.34084084084084	0.727824538290761	2297.43654751795	150.152718387294	86.5	219.075144508671	893	107	87.0662460567823	103.283582089552
5	2846	276	3122	4098	7220	1401	1716	423	892	0	0	8535	31200	21894	0	18104	5013	12704	27.6900132567388	39.4601119671858	546	2.34691011235955	2.00256574727389	1.06170977796204	5447.46484984173	133.208811026665	223	144.843049327354	1563	79	51.9505233111323	64.3578643578644
6	3779	351	4130	6636	10766	545	961	1227	1538	0	0	13531	50990	35781	0	19790	4996	13887	25.2450732693279	35.9759097473545	646	0.996608817075603	1.32286995515695	0.911703184655719	8599.07202578554	61.4949915335498	381.75	69.2206941715783	1008	75	30.2434456928839	43.6683702441794
7	3804	372	4176	8875	13051	391	930	2397	2108	0	0	17556	72163	50638	0	21173	4025	14858	19.0100599820526	27.0906008039614	570	0.80564451561249	1.01113801452785	0.753020590562091	11798.9225623408	25.9229522577578	509.5	11.8743866535819	46	21	11.3704368641532	24.6983011130639
8	3490	331	3821	9997	13818	114	718	4007	2615	0	0	20440	99047	69503	0	26884	2884	18865	10.7275703020384	15.2875017187387	507	0.716521739130435	0.914990421455939	0.564310176410087	15078.4185015055	25.113145862177	567.25	-10.6214191273689	-355	-41	10.1481184947958	19.325992166137
9	3144	283	3427	10095	13522	-36	548	6266	3079	0	0	22867	129530	90894	0	30483	2427	21391	7.96181478200965	11.3461160111087	464	0.841539528432732	0.896885632033499	0.742182484741842	17250.0714506292	24.0028475541542	546.75	-15.1348879743941	-394	-48	11.527950310559	17.5381635907952
10	2640	247	2887	9338	12225	-394	378	9006	3431	0	0	24662	164979	111041	0	35449	1795	20147	5.06361251375215	8.90951506427756	352	0.739596209311908	0.842427779398891	0.78524801399479	18815.0537906277	7.07915174835074	473.25	-25.6207078711041	-540	-36	12.2052704576976	16.7857142857143
11	1968	199	2167	6817	8984	-271	236	13525	3666	0	0	26175	200427	133329	0	35448	1513	22288	4.26822387722862	6.78840631730079	235	0.842896935933148	0.750606165569796	0.761927699580273	20672.6658843511	7.81386457211445	389.5	-39.6662387676508	-720	-48	9.68273588792748	16.0318362706083
12	1537	141	1678	5362	7040	-347	130	15969	3867	0	0	26876	234619	151040	0	34192	701	17711	2.05018717828732	3.95799220823217	201	0.463317911434237	0.774342408860175	0.583051753714994	20384.1449509766	-13.1138439086135	313	-35.7827476038339	-489	-58	11.1977715877437	15.6799935122861
13	708	105	813	4712	5525	-244	80	17756	3986	0	0	27267	263888	166240	0	29269	391	15200	1.33588438279408	2.57236842105263	119	0.557774607703281	0.48450536352801	0.649917505067948	18836.5	-19.3056034826003	226.75	-47.5192943770673	-865	-36	7.86516853932584	15.2282712511939
14	514	82	596	3763	4359	-214	60	19160	4068	0	0	27587	294181	183187	0	30293	320	16947	1.05634965173472	1.88823980645542	82	0.818414322250639	0.733087330873309	0.734047188187273	18036.5	-6.04052892745267	159.25	-48.5086342229199	-217	-23	11.69757489301	15.1361809793124
15	383	54	437	2631	3068	-183	33	20617	4124	0	0	27809	329358	198884	0	35177	222	15697	0.63109418085681	1.41428298400968	56	0.69375	0.733221476510067	0.748995429062878	16388.75	-4.22088322782397	114.5	-51.0917030567686	-159	-28	14.3222506393862	15.1245094803242
16	239	31	270	2012	2282	-136	37	21467	4179	0	0	27928	360962	215416	0	31604	119	16532	0.376534615871409	0.719816114202758	55	0.536036036036036	0.617848970251716	0.508961871380212	16094	2.72151112215733	78	-29.4871794871795	-167	-23	17.1875	15.1484394823649
17	188	13	201	1299	1500	-172	34	22377	4207	0	0	28084	410984	244630	0	50022	156	29214	0.311862780376634	0.533990552474841	28	1.3109243697479	0.744444444444444	0.741843009538997	19597.5	49.0700344431688	55.25	-49.3212669683258	-69	-18	12.6126126126126	15.1281959077996
18	129	12	141	1013	1154	-17	43	22854	4235	0	0	28243	455992	271706	0	45008	159	27076	0.353270529683612	0.587235928497562	28	1.01923076923077	0.701492537313433	1.09971220609794	22129.75	22.3511336549215	41.75	-32.9341317365269	-60	-1	23.5294117647059	15.163993125179
19	111	12	123	909	1032	-18	40	23185	4255	27961	511	28472	489451	292851	0	33459	229	21145	0.684419737589288	1.08299834476236	20	1.44025157232704	0.872340425531915	1.84423038885444	23491.75	-9.98967722711165	32.75	-38.9312977099237	-18	0	12.8205128205128	15.1509756444951
