settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint
																																		
1	1	1	2	0	2	0	2	1	0	0	0	3	124	0	0	124	3	0	2.41935483870968	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#RIF!	#RIF!	#RIF!	#RIF!	#RIF!	#DIV/0!	#RIF!	#RIF!	2	0
2	3	0	3	1	4	10	12	3	0	0	0	7	773	0	0	649	4	0	0.61633281972265	#DIV/0!	0	1.33333333333333	1.5	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#RIF!	#RIF!	10	10
3	55	8	63	31	94	89	94	3	5	0	0	102	1929	0	0	1156	95	0	8.21799307958477	#DIV/0!	5	23.75	21	#DIV/0!	0	#DIV/0!	1.66666666666667	200	#DIV/0!	#DIV/0!	#RIF!	#RIF!	82	79
4	267	31	298	174	472	262	280	32	19	0	0	523	9330	0	0	7401	421	0	5.68842048371842	#DIV/0!	14	4.43157894736842	4.73015873015873	#DIV/0!	0	#DIV/0!	4.75	194.736842105263	#DIV/0!	#DIV/0!	#RIF!	#RIF!	186	173
5	718	96	814	600	1414	323	358	63	63	0	0	1540	18371	0	0	9041	1017	0	11.2487556686207	#DIV/0!	44	2.41567695961995	2.73154362416107	#DIV/0!	0	#DIV/0!	15.75	179.365079365079	7.98264731008043	-69.7383979802107	0	#DIV/0!	78	61
6	1079	154	1233	1264	2497	215	331	267	150	0	0	2914	32846	0	0	14475	1374	0	9.49222797927461	#DIV/0!	87	1.35103244837758	1.51474201474201	#DIV/0!	0	#DIV/0!	37.5	132	7.98707208884149	-83.0847595545673	0	#DIV/0!	-27	-108
7	1235	197	1432	1868	3300	201	273	502	229	0	0	4031	47470	0	0	14624	1117	0	7.63812910284464	#DIV/0!	79	0.812954876273654	1.16139497161395	#DIV/0!	0	#DIV/0!	56	41.0714285714286	2.2528108079099	-63.9137528362672	0	#DIV/0!	-58	-14
8	1314	200	1514	2406	3920	142	210	764	284	0	0	4968	72746	0	0	25276	937	0	3.70707390409875	#DIV/0!	55	0.838854073410922	1.0572625698324	#DIV/0!	0	#DIV/0!	66.25	-16.9811320754717	1.35462958942053	-38.0750221342972	0	#DIV/0!	-63	-59
9	1388	185	1573	2792	4365	56	145	1101	349	0	0	5815	97823	23067	0	25077	847	23067	3.37759700123619	3.67191225560324	65	0.903948772678762	1.03896961690885	#DIV/0!	5766.75	300	71.5	-9.09090909090909	0.97669754268523	-7.44844405018773	1441.6875	300	-65	-86
10	1464	143	1607	2955	4562	-78	136	1433	397	0	0	6392	124769	95719	0	26946	577	72652	2.14131967638982	0.794196993888675	48	0.681227863046045	1.02161474888748	0.21628975275124	23929.75	203.605344811375	61.75	-22.2672064777328	0.809246396352346	-15.8194752405869	7424.125	222.324179617127	-9	-134
11	1335	95	1430	2955	4385	-59	70	1938	524	0	0	6847	153293	120095	0	28524	455	24376	1.59514794558968	1.86659008861175	127	0.788561525129983	0.88985687616677	2.35028601590677	30023.75	-18.8109413381073	73.75	72.2033898305085	0.803148058566428	-1.81616991797021	14930.0625	101.095943168356	-66	19
12	1266	83	1349	2945	4294	-104	75	2334	562	0	0	7190	181398	143970	0	28105	343	23875	1.22042341220423	1.43664921465969	38	0.753846153846154	0.943356643356643	0.769665082561418	35992.5	-33.6667361255817	69.5	-45.3237410071943	0.781896078675236	-3.58742364798746	23928.1875	50.4188313469209	5	-45
13	1137	73	1210	2616	3826	-96	59	3031	628	0	0	7485	209472	167859	0	28074	295	23889	1.05079432927264	1.23487797731173	66	0.860058309037901	0.896960711638251	0.859554277210427	36198	-34.0046411403945	69.75	-5.37634408602151	0.770923462765021	11.5620876232235	31536	14.783105022831	-16	8
14	1085	60	1145	2409	3554	-87	29	3401	688	0	0	7643	235840	190052	0	26368	158	22193	0.599211165048544	0.711936196097869	60	0.535593220338983	0.946280991735537	0.576523518257016	23583.25	-5.89507383418316	72.75	-17.5257731958763	0.734514802088255	-27.0820385353338	31449.375	-25.0120232914009	-30	9
15	594	56	650	2244	2894	-96	21	4105	739	0	0	7738	257563	208081	0	21723	95	18029	0.437324494775123	0.526928836873925	51	0.60126582278481	0.567685589519651	0.740134916249559	21996.5	-18.0369604255222	53.75	-5.11627906976744	0.687690876501962	-12.5674277019299	29442.5625	-25.2901305720248	-8	-9
16	466	49	515	2100	2615	-110	30	4450	763	0	0	7828	275885	222963	0	18322	90	14882	0.491212749699814	0.604757425077275	24	0.947368421052632	0.792307692307692	1.14770227544402	19748.25	-24.6414239236388	50.25	-52.2388059701493	0.736071443303581	28.7060420114551	25381.5	-22.1943147568111	9	-14
17	304	37	341	951	1292	-26	11	5855	811	0	0	7958	299590	243805	0	23705	130	20842	0.548407508964354	0.62374052394204	48	1.44444444444444	0.662135922330097	1.03138960858949	18986.5	9.7727332578411	45.75	4.91803278688525	0.882167977155217	63.7380274335547	21078.625	-9.92533905793191	-19	84
18	201	23	224	721	945	-32	22	6250	830	0	0	8025	319581	260369	0	19991	67	16564	0.335150817868041	0.404491668679063	19	0.515384615384615	0.656891495601173	0.648493489123772	17579.25	-5.77527482685553	35.5	-46.4788732394366	0.877115825916625	-41.2409854940178	19577.625	-10.2074434462812	11	-6
19	190	13	203	637	840	6	23	6428	837	5987	2118	8105	335751	274704	0	16170	80	14335	0.494743351886209	0.558074642483432	7	1.19402985074627	0.90625	1.37969378777546	16655.75	-13.9336265253741	24.5	-71.4285714285714	1.02530683290699	16.4558561812085	18242.4375	-8.69778230019974	1	38
20	200	12	212	658	870	7	39	6493	842	6035	2170	8205	353276	289493	0	17525	100	14789	0.570613409415121	0.676178240584218	5	1.25	1.04433497536946	1.21162688484685	16632.5	-11.0837216293401	19.75	-74.6835443037975	1.10096472764383	13.5367890191285	17463.5	-4.75849629226673	16	1
21	191	11	202	690	892	-15	41	6601	845	6076	2262	8338	370462	304024	0	17186	133	14531	0.773885720935645	0.91528456403551	3	1.33	0.952830188679245	1.35361434175212	15054.75	-3.47896843189027	8.5	-64.7058823529412	1.07235361653272	24.0262521145158	16480.5625	-8.65147958390376	2	-22
22	175	9	184	701	885	20	33	6714	851	6128	2322	8450	389441	321110	0	18979	112	17086	0.59012592865799	0.65550743298607	6	0.842105263157895	0.910891089108911	0.71617883524215	15185.25	12.5170807197774	5.25	14.2857142857143	1.15403377847604	-27.0294094623524	15882.0625	-4.38741819584201	-8	35
23	193	9	202	742	944	23	30	6762	861	6172	2395	8567	407440	336276	0	17999	117	15166	0.650036113117395	0.771462481867335	10	1.04464285714286	1.09782608695652	1.17689356832011	15393	-1.47469629052167	6	66.6666666666667	1.11668703007519	-6.45159932837044	15566.375	-1.1137788984269	-3	3
24	174	9	183	791	974	39	53	6859	864	6209	2488	8697	424283	349522	0	16843	130	13246	0.771833996318946	0.981428355730032	3	1.11111111111111	0.905940594059406	1.27216602076937	15007.25	-11.7359942694364	5.5	-45.4545454545455	1.08196480785297	2.69383098660878	15160.0625	-1.00799386546065	23	16
25	195	8	203	878	1081	101	106	6912	867	6260	2600	8860	442833	362827	0	18550	163	13305	0.878706199460916	1.22510334460729	3	1.25384615384615	1.10928961748634	1.24828606943601	14700.75	-9.49441355032906	5.5	-45.4545454545455	1.0629263463145	17.9617156159152	15071.5625	-2.460345435319	53	62
26	212	9	221	1108	1329	202	235	6979	870	6326	2852	9178	460225	375815	0	17392	318	12988	1.82842686292548	2.44841392054204	3	1.95092024539877	1.08866995073892	1.99853663882281	13676.25	-5.03244675989398	4.75	-36.8421052631579	1.34013009187472	45.5769299732392	14694.3125	-6.92827582100217	129	101
27	299	6	305	1846	2151	277	302	7067	875	6509	3584	10093	502648	409290	0	42423	915	33475	2.15684887914575	2.73338312173264	5	2.87735849056604	1.38009049773756	1.1163893077064	18253.5	83.3894869477087	3.5	42.8571428571429	1.79830900023052	60.0035639146108	15409.4375	18.4566276348504	67	75
28	328	7	335	2839	3174	245	270	7139	878	6686	4505	11191	584482	477920	0	81834	1098	68630	1.34174059681795	1.59988343290106	3	1.2	1.09836065573771	0.585312545534023	32099.5	113.803953332606	3.5	-14.2857142857143	1.82053122245274	-34.0851733164301	19682.5	63.0864981582624	-32	-32
29	359	9	368	3667	4035	256	302	7294	881	6890	5320	12210	659927	545694	0	75445	1019	67774	1.35065279342567	1.50352642606309	3	0.928051001821494	1.09850746268657	0.939772482884426	45716.75	48.2476335260052	3.5	-14.2857142857143	1.73908243444658	-46.6355945273621	27436.5	66.6274852842017	32	11
30	410	17	427	4469	4896	292	346	7523	885	7136	6168	13304	729251	606736	0	69324	1094	61042	1.57809705152617	1.79220864322925	4	1.07360157016683	1.16032608695652	1.19200342086574	57730.25	5.73659390007838	3.75	6.66666666666667	1.51975276563859	-29.3568273444984	38450	50.1436931079324	44	36
31	466	27	493	5347	5840	293	379	7807	895	7467	7075	14542	792675	662743	0	63424	1238	56007	1.95194248234107	2.21043798096666	10	1.13162705667276	1.15456674473068	1.2333597370582	63363.25	-11.6096475480661	5	100	1.08331990716527	4.45917675729739	49727.4375	27.421104294787	33	1
32	640	41	681	6240	6921	320	455	8215	910	7929	8117	16046	858334	716730	0	65659	1504	53987	2.29062276306371	2.78585585418712	15	1.21486268174475	1.38133874239351	1.26031848808932	59702.5	-9.57330095054646	8	87.5	1.08703557760146	11.7592383153955	56628.1875	5.42894384532438	76	27
33	764	48	812	7330	8142	546	619	8671	944	8505	9252	17757	937860	778041	0	79526	1711	61311	2.15149762341876	2.79069008823865	34	1.1376329787234	1.19236417033774	1.00173527788391	58086.75	5.5507495254942	15.75	115.873015873016	1.13943107182694	-0.157806219962823	59720.6875	-2.73596565679188	164	226
34	927	78	1005	9117	10122	1423	1593	9179	984	9280	11005	20285	1029316	849390	0	91456	2528	71349	2.76417074877537	3.54314706583134	40	1.47749853886616	1.23768472906404	1.26963114993095	60663.5	17.6143809704353	24.75	61.6161616161616	1.24040531400177	19.1141735840752	60454	0.346544480100572	974	877
35	1130	111	1241	13950	15191	2221	2480	9703	1033	11105	14822	25927	1163907	954419	0	134591	5642	105029	4.19195934349251	5.3718496796123	49	2.23180379746835	1.23482587064677	1.51612382433013	72919	44.0351623033777	34.5	42.0289855072464	1.51544949920067	47.2700871025747	62842.9375	16.0337229621069	887	798
36	1599	158	1757	22649	24406	3791	4049	10414	1116	13424	22512	35936	1313163	1071581	0	149256	10009	117162	6.70592806989334	8.54287226233762	83	1.77401630627437	1.41579371474617	1.59030367040244	88712.75	32.0689528844501	51.5	61.1650485436893	1.65523790533307	7.17591112181529	70095.5	26.559836223438	1569	1570
37	2032	185	2217	35566	37783	4019	4348	11595	1254	16636	33996	50632	1480183	1207323	0	167020	14696	135742	8.79894623398395	10.8264207098761	138	1.46827854930563	1.26180990324417	1.26730452913428	107320.5	26.4828248097987	77.5	78.0645161290323	1.73789929797863	-15.5141755904155	82403.9375	30.2371018375184	299	228
38	2761	237	2998	50276	53274	4247	4765	13264	1429	20643	47324	67967	1668951	1357006	0	188768	17335	149683	9.18323020850992	11.5811414789923	175	1.17957267283615	1.35227785295444	1.06971101431775	126904	17.9497888167434	111.25	57.3033707865169	1.66341783147112	-29.0874096382065	98964.0625	28.2324075974549	417	228
