settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint
																														
1	0	0	0	0	0	-17	-17	0	0	0	0	0	1	0	0	1	0	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#RIF!	#RIF!	#RIF!	#RIF!	0	0
2	12	1	13	5	18	22	24	4	0	0	0	22	121	0	0	120	22	0	18.3333333333333	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	13	1
3	60	17	77	20	97	139	127	5	7	0	0	109	611	0	0	490	87	0	17.7551020408163	#DIV/0!	7	3.95454545454545	5.92307692307692	#DIV/0!	0	#DIV/0!	2.33333333333333	200	64	16
4	255	73	328	247	575	274	337	42	50	0	0	667	2189	0	0	1578	558	0	35.361216730038	#DIV/0!	43	6.41379310344828	4.25974025974026	#DIV/0!	0	#DIV/0!	12.5	244	251	56
5	761	133	894	659	1553	395	513	159	212	0	0	1924	5538	0	0	3349	1257	0	37.5335921170499	#DIV/0!	162	2.25268817204301	2.72560975609756	#DIV/0!	0	#DIV/0!	53	205.660377358491	566	60
6	1142	175	1317	1066	2383	303	387	437	397	0	0	3217	9677	0	0	4139	1293	0	31.2394298139647	#DIV/0!	185	1.02863961813842	1.47315436241611	#DIV/0!	0	#DIV/0!	99.25	86.3979848866499	423	42
7	1141	162	1303	1814	3117	24	218	837	595	0	0	4549	15533	0	0	5856	1332	0	22.7459016393443	#DIV/0!	198	1.03016241299304	0.989369779802582	#DIV/0!	0	#DIV/0!	147	34.6938775510204	-14	-13
8	1088	138	1226	2139	3365	110	329	1471	760	0	0	5596	23129	0	0	7596	1047	0	13.783570300158	#DIV/0!	165	0.786036036036036	0.940905602455871	#DIV/0!	0	#DIV/0!	177.5	-7.04225352112676	-77	-24
9	878	102	980	2516	3496	53	328	2216	957	0	0	6669	33007	21979	0	9878	1073	21979	10.8625227778903	4.88193275399245	197	1.02483285577841	0.799347471451876	#DIV/0!	5494.75	300	186.25	5.77181208053691	-246	-36
