settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint
																														
1	76	19	95	71	166	335	535	0	6	0	0	172	1463	938	0	1463	172	938	11.7566643882433	18.3462648411923	6	#DIV/0!	#DIV/0!	#DIV/0!	#RIF!	#RIF!	#RIF!	#RIF!	95	19
2	478	127	605	472	1077	820	1039	139	38	0	0	1254	7925	5079	0	6462	1082	4141	16.7440420922315	26.1290635329645	32	6.2906976744186	6.36842105263158	1.42421706865899	2539.25161561042	63.0788643533123	19	68.421052631579	510	108
3	2802	440	3242	1248	4490	2102	2867	646	333	0	0	5469	20135	12903	0	12210	4215	7824	34.5208845208845	53.8698111179981	295	3.89556377079482	5.35867768595041	2.06168166149682	4300.97424019481	81.9220263223243	111	165.765765765766	2637	313
4	6171	823	6994	3867	10861	1333	3068	2368	1420	0	0	14649	43565	27917	0	23430	9180	15014	39.1805377720871	61.141196078189	1087	2.1779359430605	2.15731030228254	1.13498070272167	6979.33732707053	115.12682199013	355	206.197183098592	3752	383
5	9266	1183	10449	8461	18910	1908	3147	6075	3776	0	0	28761	73242	46935	0	29677	14112	19018	47.5519762779257	74.2048187910612	2356	1.53725490196078	1.49399485273091	1.21366318539412	11499.3654080063	65.3798464732024	942.5	149.973474801061	3455	360
6	11815	1330	13145	11861	25006	518	2491	10337	6818	0	0	42161	111057	71168	0	37815	13400	24233	35.4356736744678	55.2973388189907	3042	0.949546485260771	1.25801512106422	0.745198758246302	16522.2774524374	46.6664080983592	1695	79.4690265486726	2696	147
7	11914	1343	13257	15212	28469	1352	2539	13863	9202	0	0	51534	154989	99320	0	43932	9373	28153	21.3352453792224	33.2936323818567	2384	0.699477611940299	1.00852034994294	0.602083808966639	21604.3051969418	30.3098165423347	2217.25	7.52057729169016	112	13
8	12028	1143	13171	18764	31935	972	2117	17478	10901	0	0	60314	211092	135272	0	56103	8780	35952	15.6497869989127	24.4214793846983	1699	0.936733169742878	0.993512861129969	0.733518022443437	26838.6880383827	33.9557205704155	2370.25	-28.3197974897163	-86	-200
9	10138	901	11039	23548	34587	783	1655	20008	12376	0	0	66971	270486	173333	0	59394	6657	38061	11.2082028487726	17.4903910724046	1475	0.758200455580866	0.8381292232936	0.716188843308302	31599.5044586411	20.447770274381	2150	-31.3953488372093	-2132	-242
