settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint	morti/contagi	morti/cont cum
																																
1	101	26	127	94	221	528	787	1	7	0	0	229	4324	2917	0	4324	229	2917	5.29602220166513	7.85024470361658	7	#DIV/0!	#DIV/0!	#DIV/0!	#RIF!	#RIF!	#RIF!	#RIF!	127	26	#VALORE!	#VALORE!
2	742	166	908	927	1835	1584	1834	149	52	0	0	2036	23345	15749	0	19021	1807	12832	9.50002628673571	14.0818010578236	45	7.89082969432314	7.1496062992126	1.79380409012425	7874.63594866755	62.9556650246306	26	73.0769230769231	781	140	#DIV/0!	#DIV/0!
3	4316	733	5049	2936	7985	4451	5387	724	463	0	0	9172	53826	36313	0	30481	7136	20563	23.411305403366	34.7023613665631	411	3.94908688433868	5.56057268722467	2.46434111830341	12104.2380116507	69.8863003009697	154.333333333333	166.306695464363	4141	567	179.475982532751	202.183406113537
4	11025	1851	12876	10197	23073	6427	8793	2749	2158	0	0	27980	137962	93074	nd-IT-0004	84136	18808	56761	22.3542835409337	33.1355476408659	1695	2.63565022421525	2.55020796197267	0.95484993919731	23268.3770561163	143.939635551819	539.5	214.179796107507	7827	1118	93.8018815716658	105.992141453831
5	20692	3204	23896	26522	50418	7595	10006	7432	6077	0	0	63927	275468	185839	0	137506	35947	92766	26.1421319796954	38.7502403313804	3919	1.91126116546151	1.85585585585586	1.16944620174588	45730.5694937998	102.853096509604	1517.5	158.25370675453	11020	1353	54.9187219730942	66.2559965111208
6	27795	3981	31776	43752	75528	4620	8366	14620	11591	0	0	101739	477359	322041	0	201891	37812	136202	18.7289180795578	27.7617019642196	5514	1.05188193729658	1.32976230331436	0.716426575082113	76573.034174306	77.8720479985199	2884.75	91.1430799896005	7880	777	29.3173117822203	41.4260185847034
7	28976	3898	32874	60313	93187	3925	7691	22837	16523	0	0	132547	721732	486903	0	244373	30808	164862	12.6069573970938	18.6871762932072	4932	0.814767798582461	1.03455438066465	0.67312790538894	112647.603296868	46.3517321299704	4015	22.8393524283935	1098	-83	13.7201991821292	25.8466688566646
8	28023	3260	31283	72333	103616	1849	6200	35435	20465	0	0	159516	1046910	706278	0	325178	26969	219375	8.29361149893289	12.2935435812337	3942	0.875389509218385	0.951603090588307	0.657859881468686	153301.23358898	43.1008154481885	4576.75	-13.8690118533894	-1591	-638	10.4252618216439	20.1151967288847
9	24906	2573	27479	80758	108237	236	4580	48877	24114	0	0	181228	1398024	943151	dc-IT-0007	351114	21712	236873	6.1837465894268	9.16611034917718	3649	0.805072490637398	0.878400409167919	0.745603599857847	189327.903876471	25.1123329259297	4509.25	-19.0774519044187	-3804	-687	11.8443261490522	18.1927919907655
