settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso
																								
1	12	4	16	16	32	72	104	0	1	0	0	33	2200	1381	0	2200	33	1381	1.5	2.38899711157385	1	#DIV/0!	#DIV/0!	#DIV/0!
2	53	14	67	204	271	128	137	0	2	0	0	273	9782	6142	0	7582	240	4761	3.16539171722501	5.04140777963357	1	7.27272727272727	4.1875	2.11026114481668
3	186	51	237	457	694	285	309	30	20	0	0	744	15956	10018	0	6174	471	3877	7.6287657920311	12.1500662946905	18	1.9625	3.53731343283582	2.41005425979916
4	498	156	654	1620	2274	715	806	130	69	0	0	2473	35052	22008	0	19096	1729	11990	9.05425219941349	14.4203882345734	49	3.67091295116773	2.75949367088608	1.18685675327344
5	1206	281	1487	3499	4986	680	811	327	192	0	0	5505	61115	38373	0	26063	3032	16364	11.633349959713	18.5280263011215	123	1.75361480624639	2.2737003058104	1.28484933968005
6	1633	356	1989	5575	7564	629	768	747	413	0	0	8724	99941	62751	0	38826	3219	24378	8.29083603770669	13.2045222310758	221	1.06167546174142	1.33759246805649	0.712678297001152
7	1714	322	2036	7686	9722	293	671	1204	662	0	0	11588	146288	91851	0	46347	2864	29100	6.17947224200056	9.84182755812678	249	0.889717303510407	1.02362996480644	0.745337649170281
8	1427	245	1672	9094	10766	-197	417	2603	882	0	0	14251	203077	127508	0	56789	2663	35657	4.68928841853176	7.46846432480608	220	0.92981843575419	0.821218074656188	0.758849337757303
9	1273	180	1453	8608	10061	-443	272	4954	1112	0	0	16127	260810	163757	0	57733	1876	36249	3.24944139400343	5.17527073633514	230	0.704468644386031	0.869019138755981	0.692949783417426
10	1099	123	1222	7638	8860	-410	202	7375	1344	0	0	17579	320027	192751	0	59217	1452	28994	2.45199858148842	5.00793267572601	232	0.773987206823028	0.841018582243634	0.967665834478134
11	955	101	1056	6178	7234	-351	106	9611	1528	0	0	18373	383660	223968	0	63633	794	31217	1.24778023981268	2.54348592113272	184	0.546831955922865	0.864157119476268	0.507891396675771
12	400	38	438	5022	5460	-252	32	11615	1666	0	0	18741	445905	250175	0	62245	368	26207	0.59121214555386	1.40420498340138	138	0.463476070528967	0.414772727272727	0.552078929053412
13	263	22	285	3719	4004	-218	26	13143	1803	0	0	18950	513021	275851	0	67116	209	25676	0.311401156207164	0.813989718024614	137	0.567934782608696	0.650684931506849	0.579680123376931
14	179	10	189	2389	2578	-194	17	14641	1878	0	0	19097	590179	308128	0	77158	147	32277	0.190518157546852	0.455432661027977	75	0.703349282296651	0.663157894736842	0.559506650935614
15	110	6	116	1352	1468	-111	3	15768	1918	0	0	19154	675934	335650	0	85755	57	27522	0.066468427496939	0.207107041639416	40	0.387755102040816	0.613756613756614	0.454747889999689
16	82	1	83	997	1080	-11	11	16152	1955	0	0	19187	750248	355368	0	74314	33	19718	0.044406168420486	0.16735977279643	37	0.578947368421053	0.71551724137931	0.808083450333919
17	38	1	39	716	755	-9	8	16487	1978	0	0	19220	817064	373057	0	66816	33	17689	0.049389367816092	0.186556617106676	23	1	0.469879518072289	1.1147040533665
18	29	1	30	555	585	-20	13	16659	2003	0	0	19247	882529	390386	0	65465	27	17329	0.041243412510502	0.155808182814935	25	0.818181818181818	0.769230769230769	0.835179074488902
19	17	1	18	444	462	2	11	16808	2008	19257	21	19278	948871	406042	0	66342	31	15656	0.046727563232945	0.198007153806847	5	1.14814814814815	0.6	1.2708392475255
20	16	2	18	366	384	6	17	16919	2024	19268	59	19327	1013235	423183	0	64364	49	17141	0.07612951339258	0.285864301966046	16	1.58064516129032	1	1.44370693921949
21	22	3	25	387	412	46	54	16950	2039	19282	119	19401	1069923	440190	0	56688	74	17007	0.130539091165679	0.435114952666549	15	1.51020408163265	1.38888888888889	1.52210314360353
22	35	2	37	572	609	59	61	16990	2050	19317	332	19649	1123386	457249	0	53463	248	17059	0.463872210687765	1.45377806436485	11	3.35135135135135	1.48	3.34113561360176
23	31	0	31	703	734	45	61	17027	2064	19360	465	19825	1182530	474106	0	59144	176	16857	0.297578790748005	1.04407664471733	14	0.709677419354839	0.837837837837838	0.71818159202552
24	25	4	29	1022	1051	29	80	17106	2076	19436	797	20233	1253243	491567	0	70713	408	17461	0.576980187518561	2.3366359315045	12	2.31818181818182	0.935483870967742	2.23799272144155
25	29	6	35	1222	1257	64	98	17336	2083	19543	1133	20676	1315887	510459	0	62644	443	18892	0.707170678756146	2.34490789752276	7	1.08578431372549	1.20689655172414	1.00354011761385
26	37	4	41	1593	1634	24	191	17526	2096	19699	1557	21256	1380393	533824	0	64506	580	23365	0.89914116516293	2.48234538840145	13	1.30925507900677	1.17142857142857	1.05861104012822
27	43	4	47	2001	2048	59	225	17919	2104	19852	2219	22071	1463152	575140	0	82759	815	41316	0.984787153058882	1.97260141349598	8	1.4051724137931	1.14634146341463	0.794652276316097
28	51	8	59	2328	2387	104	244	18422	2120	19971	2958	22929	1554195	611002	0	91043	858	35862	0.942411827378272	2.39250460097039	16	1.05276073619632	1.25531914893617	1.21286773121095
29	85	13	98	2845	2943	31	211	18940	2130	20109	3904	24013	1642047	645256	0	87852	1084	34254	1.23389336611574	3.164593916039	10	1.26340326340326	1.66101694915254	1.32271173679476
30	96	14	110	2873	2983	64	228	19737	2144	20329	4535	24864	1715769	673892	0	73722	851	28636	1.15433656167765	2.97178376868278	14	0.785055350553505	1.12244897959184	0.939072704911991
31	129	12	141	2993	3134	99	262	20589	2162	20693	5192	25885	1798099	703443	0	82330	1021	29551	1.24013117939998	3.45504382254408	18	1.19976498237368	1.28181818181818	1.1626161563146
32	155	21	176	3445	3621	254	444	21359	2176	21124	6032	27156	1880709	733252	0	82610	1271	29809	1.53855465440019	4.26381294239995	14	1.24485798237023	1.24822695035461	1.23408360686445
33	182	20	202	4199	4401	422	668	22259	2194	21556	7298	28854	1980931	773489	0	100222	1698	40237	1.69423878988645	4.21999652061535	18	1.33595594020456	1.14772727272727	0.989723652895539
34	244	29	273	6016	6289	886	1128	23323	2219	22250	9581	31831	2069955	808554	0	89024	2977	35065	3.34404205607477	8.48994724083844	25	1.75323910482921	1.35148514851485	2.01183749781871
